Publication_Number,Title,Abstract,Inventors,Publication_Date,PDF_Link,resource
US20180308569A1,"System or method for engaging patients, coordinating care, pharmacovigilance, analysis or maximizing safety or clinical outcomes","The invention provides a Platform or Application, via numerous systems and methods, involving software, code, pseudo-code, databases, schemas, algorithms, inference engines, and user interfaces including but not limited to Complex Event Processing (CEP) artificial intelligence, for pharmacotherapy management and evaluation (specifically managing medication therapy regimens), maximizing patient safety and Medication efficacy, coordinating care among disparate Providers, improving clinical outcomes, regulatory reporting, and research, learning, or knowledge discovery via analysis. More specifically, the invention is comprised of a mobile and digital health intervention platform with various modules addressing health challenges related to medication non-adherence behaviors, predicting and preventing medication non-adherence, identifying and overcoming reasons for non-adherence, identifying risks or preventing adverse drug interactions (ADR) (e.g., between medications (polypharmacy), environments, age or consumables), and/or adverse events (AE), automatically tracking and reporting adverse events (AE), coordinating care amongst a diversified healthcare treatment team (medical concordance), or conducting Analysis, research, knowledge discovery or learning regarding the data (events). Users include Patients, caregivers, health care Providers, Pharmaceutical Manufacturers, Insurance Carriers, National Health Services, Payers, or other interested parties.",,2018-10-25,https://patentimages.storage.googleapis.com/a9/67/2d/0f89e5d1662792/US20180308569A1.pdf,google patents
US11669965B2,AI-based label generating system and methods for use therewith,"A label generating system operates to generate an artificial intelligence model by: training on a training data set that includes the plurality of medical scans with the corresponding global labels; generating testing global probability data by performing an inference function that utilizes the artificial intelligence model on the plurality of medical scans with the corresponding global labels, wherein the testing global probability data indicates a testing set of global probability values corresponding to the set of abnormality classes, and wherein each of the testing set of global probability values indicates a probability that a corresponding one of the set of abnormality classes is present in each of the plurality of medical scans with the corresponding global labels; comparing the testing set of global probability values to a corresponding confidence threshold for each of the plurality of medical scans selected based on the corresponding one of the global labels; generating an updated training data set by correcting ones of the plurality of medical scans having a corresponding one of the testing set of global probability values that compares unfavorably to the corresponding confidence threshold; and retraining the artificial intelligence model based on the updated training set.",Kevin Lyman,2021-12-23,https://patentimages.storage.googleapis.com/36/d6/60/a73cdbfd33dc9f/US11669965.pdf,google patents
US11259874B1,Three-dimensional selective bone matching,"A method of generating a custom three-dimensional model of a bone is disclosed. A 2D image of the bone is obtained and an orientation and scale of the 2D image are aligned to a pre-determined coordinate system. Based on the 2D image, a representative bone is identified from a library of representative bones that are aligned to the pre-determined coordinate system. Based on the 2D image, an ideal view of a 3D model of the representative bone is selected. Modifications may be made to the 3D model by using additional representative bones from the library. A custom three-dimensional model of the bone is thereby generated.",Daniel Farley,2022-03-01,https://patentimages.storage.googleapis.com/d6/c4/98/b8c63aa1884066/US11259874.pdf,google patents
US20210358588A1,Systems and Methods for Predicting Medications to Prescribe to a Patient Based on Machine Learning,"A system for predicting medications to prescribe to a patient includes a text encoding module and a medication prediction module. The text encoding module is configured to obtain a clinical-information vector from clinical information of the patient. The medication prediction module configured to apply a machine-learned medication-prediction algorithm to the clinical-information vector to select a subset of medications to prescribe to the patient. The machine-learned medication-prediction algorithm is designed with a diversity-promoting regularization model, and is configured to simultaneously consider correlations among different medications and dependencies between patient information and medications when selecting a subset of medications to prescribe to the patient.",Eric P. Xing,2021-11-18,https://patentimages.storage.googleapis.com/38/65/cb/758d05966c2889/US20210358588A1.pdf,google patents
WO2021030288A1,User media platform server system,"In some embodiments, the disclosure is directed to a digital media system that uses a decentralized communication system to transfer digital data. In some embodiments, the digital data includes digital property, currency, and instructions for executing financial transactions. In some embodiments, the digital media system controls the storage and flow of digital data through specified nodes located in specified jurisdictions. In some embodiments, by controlling the location of stored digital data and the node route through which digital data flows, the digital media system enables an improved social media network that can be used in the battle to end world poverty.",,2021-02-18,https://patentimages.storage.googleapis.com/16/ea/6f/6a37082a23adee/WO2021030288A1.pdf,google patents
US10646156B1,Adaptive image processing in assisted reproductive imaging modalities,"Adaptive image processing, image analysis, pattern recognition, and time-to-event prediction in various imaging modalities associated with assisted reproductive technology. The reference image may be processed according to one or more adaptive processing frameworks for de-speckling or noise processing of ultrasound images. The subject image is processed according to various computer vision techniques for object detection, recognition, annotation, segmentation, and classification of reproductive anatomy, such as follicles, ovaries and the uterus. An image processing framework may also analyze secondary data along with subject image data to analyze time-to-event progression of the subject image.",,2020-05-12,https://patentimages.storage.googleapis.com/ad/02/40/4afa9100521dc1/US10646156.pdf,google patents
US11392856B2,Methods and systems for an artificial intelligence support network for behavior modification,An artificial intelligence behavior modification support system includes a diagnostic engine operating on the at least a server and configured to receive at least a biological extraction from a user and generate at least a request for a behavior modification. The system includes an influencer module designed and configured to generate at least a request for an influencer as a function of the at least a request for a behavior modification. The system includes a client interface module designed and configured to transmit the at least a request for an influencer to at least a client device.,,2020-12-17,https://patentimages.storage.googleapis.com/3d/10/76/61d26358cf321f/US11392856.pdf,google patents
AU2019366442B2,Machine learning approach to real-time patient motion monitoring,"Systems and techniques may be used to estimate a patient state during a radiotherapy treatment. For example, a method may include generating a dictionary of expanded potential patient measurements and corresponding potential patient states using a preliminary motion model. The method may include training, using a machine learning technique, a correspondence motion model relating an input patient measurement to an output patient state using the dictionary. The method may include estimating, using a processor, the patient state corresponding to an input image using the correspondence motion model.",Martin Emile Lachaine,2021-06-10,https://patentimages.storage.googleapis.com/db/d2/17/b4f9c8505935f4/AU2019366442B2.pdf,google patents
US11282608B2,Method and system for using artificial intelligence and machine learning to provide recommendations to a healthcare provider in or near real-time during a telemedicine session,"A computer-implemented system includes a treatment device configured to be manipulated by a user while the user performs a treatment plan, a patient interface, and a computing device configured to: receive treatment; write to an associated memory, configured to be accessed by an artificial intelligence engine, treatment data, the artificial intelligence engine being configured to use at least one machine learning model to, using the treatment data, generate at least one of a treatment scheduling output prediction and an appointment output; receive, from the artificial intelligence engine, the at least one of the treatment scheduling output prediction and the appointment output; and selectively modify, using the at least one of the treatment scheduling output prediction and the appointment output, the at least one aspect of the treatment plan.",Daniel Posnack,2021-05-13,https://patentimages.storage.googleapis.com/37/8f/1d/79030fce258f35/US11282608.pdf,google patents
US10957433B2,"Clinical concept identification, extraction, and prediction system and related methods","A method includes the steps of determining a first concept from a text of a medical record from an electronic health record system, the first concept relating to a patient, identifying a match to the first concept in a first list of concepts, wherein the first list of concepts is not a predetermined authority, referencing the first concept with an entity in a database of related concepts, identifying a match to a second concept in a second list of concepts, the second list of concepts not directly linked to the first list of concepts except by a relationship to the entity, wherein the second list of concepts is the predetermined authority, and providing the second concept as an identifier of the patient's medical record.",Jonathan Ozeran,2020-06-04,https://patentimages.storage.googleapis.com/f9/ba/3f/1dd396675abb82/US10957433.pdf,google patents
US11538564B2,AI system for generating multiple labels based on a medical scan and methods for use therewith,"A global multi-label generating system is operable to receive a plurality of medical scans and a corresponding plurality of global labels that each correspond to one of a set of abnormality classes. A computer vision model is generated by training on the medical scans and the global labels. Probability matrix data, which includes a set of image patch probability values that each indicate a probability that a corresponding one of the set of abnormality classes is present in each of a set of image patches, is generated by performing an inference function that utilizes the computer vision model on a new medical scan. Global probability data that includes a set of global probability values each indicating a probability that a corresponding one of the set of abnormality classes is present in the new medical scan is generated based on the probability matrix data for transmission to a client device.",Jordan Prosky,2021-06-17,https://patentimages.storage.googleapis.com/be/7d/79/fb27c2a0f3f550/US11538564.pdf,google patents
US10572626B2,Advanced telemedicine system with virtual doctor,"A telemedicine system with intelligent triage that replaces a remote doctor with a virtual doctor in some cases is disclosed. The telemedicine system may include: a triage procedure that employs a local attendant and software to determine if the patient should be seen by a human doctor or can be satisfactorily served by the virtual doctor AI system—the triage process is done at the start and throughout the consultation to ensure that the patient is handled appropriately, with several exit options for care to be provided by a human doctor if warranted; an AI system (e.g., an expert or knowledge-based system) comprising a knowledge-base, an inference engine, input module, output module, central/monitoring module, and learning module; and a remote control or operations center where the operation of the virtual doctors can be monitored by a set of human doctors who can choose to intervene if/when necessary.",,2017-04-06,https://patentimages.storage.googleapis.com/13/ec/29/4a6e0b559ddba4/US10572626.pdf,google patents
US20220050921A1,"Systems and methods for functionally separating heterogeneous data for analytics, artificial intelligence, and machine learning in global data ecosystems","Systems, program storage devices, and methods for improving data privacy/trust/anonymity/pseudonymity and data value, wherein data related to a Data Subject can be used and stored, while minimizing re-identification risk by unauthorized parties and enabling data related to the Data Subject to be disclosed to an authorized party by granting access only to the data relevant to that authorized party's purpose, time, place, and/or other criterion via the obfuscation of specific data values. The techniques described herein maintain this level of privacy/trust/anonymity/pseudonymity, while empowering Data Subjects, e.g., consumers or customers of such authorized parties, by enabling protection of data at the desired level of engagement with various business entities. The techniques described herein also allow Data Controllers to perform General Data Protection Regulation (GDPR) and Schrems II-compliant (and surveillance-proof) data processing, via the functional separation of heterogeneous data (e.g., via the use of “Variant Twins”) from embedded trust and privacy controls.",Ted N. Myerson,2022-02-17,https://patentimages.storage.googleapis.com/fd/74/85/81c31472cddbbc/US20220050921A1.pdf,google patents
US11810671B2,System and method for providing health information,"Systems and methods for providing health information. A method for building a health predictive model is provided based on a plurality of electronic medical records representing a plurality of electronic medical cases each associated with a diagnosis of a medical condition. Symptom-attribute-value (SAV) ontology objects are extracted from the plurality of electronic medical records. A plurality of feature vectors respectively associated with the medical cases and at least partially based on the SAV ontology objects are generated. The health predictive model can be trained based on the feature vectors by using the diagnoses as category labels of the training. The method for providing health information can include presenting a probability vector by inputting a current feature vector into the health predictive model. The current feature vector can be based on responses received via a health conversation. Advantageously, personalized and highly relevant medical advice can be provided to a user.",Daniel Souroujon,2020-06-11,https://patentimages.storage.googleapis.com/ef/68/5d/7caa9948887b3e/US11810671.pdf,google patents
US20220288461A1,Mathematical modeling for prediction of occupational task readiness and enhancement of incentives for rehabilitation into occupational task readiness,"A method includes receiving first data pertaining to a first user using a treatment apparatus to perform a treatment plan, wherein the first data comprises an attribute of the first user and an occupational task associated with the first user; receiving second data pertaining to a second user, wherein the second data comprises an attribute of the second user and an occupational task associated with the second user; determining whether an attribute and occupational task of the second user matches an attribute and occupational task of the first user; and responsive to determining that the attribute and the occupational task of the second user matches the attribute and occupational task of the first user, predicting, via an artificial intelligence engine, an estimate of when the second user performing the treatment plan would be capable of performing the occupational task associated with the second user.",Steven Mason,2022-09-15,https://patentimages.storage.googleapis.com/cc/ca/71/e2f240ae2690bc/US20220288461A1.pdf,google patents
US11508482B2,Systems and methods for remotely-enabled identification of a user infection,"Systems and methods for identifying a condition of a user. A treatment apparatus is configured to be manipulated by the user for performing an exercise, and an interface is communicably coupled to the treatment apparatus. One or more sensors are configured to sense one or more characteristics of an anatomical structure of the user. A processing device and a memory is communicatively coupled to the processing device. The memory includes computer readable instructions, that when executed by the processing device, cause the processing device to: receive, from the sensors, one or more sensor inputs representative of the one or more of characteristics of the anatomical structures; calculate an infection probability of a disease based on the one or more characteristics of the anatomical structures; and output, to the interface, a representation of the infection probability.",Daniel Posnack,2021-12-30,https://patentimages.storage.googleapis.com/cf/67/b6/486ef6ece00095/US11508482.pdf,google patents
US20170364637A1,"Mobile health management database, targeted educational assistance (tea) engine, selective health care data sharing, family tree graphical user interface, and health journal social network wall feed, computer-implemented system, method and computer program product","A system, method and computer program product of capturing and displaying health information of a first person on an electronic computing device, the electronic computing device can include: one or more computer processors; and one or more memory devices, the computer-implemented method can include, e.g., a) receiving data electronically about a first person user on the first client computing device, where the first person user has one or more family member users, each having one or more computing devices, or a user with which the user may wish to share a personal health data record, the data about the first person user can include: any identification data, any inputted health related data, or any captured health related data about the first person, can include: any health related data; an application programming interface (API) accessible data; or other health records such as, e.g., electronic medical record (EMR); scanned data; sensed data; or optical character recognition (OCR) captured data; b) receiving data about one or more second person users, where the at least one second person user can include: any other person user with which the first person wishes to be connected, a family member, a guardian, a friend, an individual, or care provider, the data about the second person users can include: any identification data, any inputted health related data, or any captured health related data about the second person user(s); and c) sharing at least a portion of the data electronically about the first person user, to the second person user(s). Various other embodiments can include various features such as a health journal, targeted educational content, an interactive family tree, selectable sharing, escalated alerting, notifications, and collaborative digital file cabinet.",Gregory Henry Pelton,2017-12-21,https://patentimages.storage.googleapis.com/0d/30/98/1de624256ff615/US20170364637A1.pdf,google patents
US10553319B1,Artificial intelligence systems and methods for vibrant constitutional guidance,"An artificial intelligence advisory system for vibrant constitutional guidance includes a diagnostic engine operating on at least a server and configured to receive at least a biological extraction from a user and generate a diagnostic output, based on the at least a biological extraction, including at least a prognostic label and at least an ameliorative process label. The system includes a plan generation module configured to generate, based on the diagnostic output, a comprehensive instruction set, associated with the user, including at least a current prognostic descriptor and at least an ameliorative process descriptor. The system includes client-interface module designed and configured to transmit the comprehensive instruction set to at least a user client device. The system includes at least an advisory module configured to generate at least an advisory output as a function of the comprehensive instruction set and transmit the advisory output to at least an advisor client device.",,2020-02-04,https://patentimages.storage.googleapis.com/ee/93/a3/644907041b47a1/US10553319.pdf,google patents
US10839578B2,"Artificial-intelligence enhanced visualization of non-invasive, minimally-invasive and surgical aesthetic medical procedures","A method includes obtaining, by a processor, an image of a patient using an imaging device, presenting the image of the patient on a display, and selecting one or more medical procedures to apply to the patient. The method further includes generating a modified image of the patient by applying the one or more medical procedures and the image of the patient as input to a machine learning model trained to output the modified image of the patient. The modified image of the patient includes one or more body region representations of the patient that are modified due to application of the one or more medical procedures to the image of the patient. The method also includes presenting the modified image of the patient on the display.",Quoc Vong Tran,2019-08-15,https://patentimages.storage.googleapis.com/14/4e/0a/b4db1100c49997/US10839578.pdf,google patents
US11445985B2,Augmented reality placement of goniometer or other sensors,"Systems and methods for positioning one or more sensors on a user. The system has user sensors, apparatus sensors, and treatment sensors. A processing device, executing computer readable instructions stored in a memory, cause the processing device to: generate an enhanced environment representative of an environment; receive apparatus data representative of a location of the apparatus in the environment; generate an apparatus avatar in the enhanced environment; receive user data representative of a location of the user in the environment; generate a user avatar in the enhanced environment; receive treatment data representative of one or more locations of the treatment sensors in the environment; generate, treatment sensor avatars in the enhanced environment; calculate a treatment location for each treatment sensor, wherein the treatment location is associated with an anatomical structure of a user; and generate instruction data representing an instruction for positioning the treatment sensors at the treatment location.",Daniel Posnack,2021-11-11,https://patentimages.storage.googleapis.com/8e/9e/6d/063a92d65c4227/US11445985.pdf,google patents
US10991070B2,Method of providing surgical guidance,"Methods, systems, and computer readable media for automated intraoperative surgical guidance in medical images are disclosed. A system and method generally for analyzing subject image data, calculating surgical decision risks and autonomously providing recommended pathways or actions that support the decision-making process of a surgeon to predict optimized implant and subject outcomes (ex. implant guidance, fracture reduction, anatomical alignment) by a graphical user interface.",Richard Boddington,2019-04-25,https://patentimages.storage.googleapis.com/22/fd/60/9d3c9719e0c1b0/US10991070.pdf,google patents
KR102088980B1,System and Method for Providing personalized hospital information,"The present invention relates to a system for providing customized medical information to which artificial intelligence technology is applied, and a driving method thereof. The system for providing customized medical information comprises: an information reception unit receiving user information and symptom information from a user terminal; a diagnosis unit matching a text extracted from the symptom information received to the information reception unit to information stored in big data to determine a diagnosis name in accordance with a symptom matched above a preset reference matching rate; and an information providing unit providing information necessary for treatment including the diagnosis name identified in the diagnosis unit and at least one recommended hospital or medical department to the user terminal. Therefore, a problem in which excessive medical treatment of a medical team and indiscriminate medical shopping of medical service users are increased by the system for providing medical information is solved to derive an effect which enables medical consumers to lead health care.",,2020-03-13,https://patentimages.storage.googleapis.com/02/73/7f/e9c5aa583060f5/KR102088980B1.pdf,google patents
US11317975B2,Method and system for treating patients via telemedicine using sensor data from rehabilitation or exercise equipment,"A system includes a treatment device configured to be manipulated by a user while the user performs a treatment plan and a patient interface associated with the treatment device. The system also includes a computing device configured to: receive treatment data pertaining to the user who uses the treatment device to perform the treatment plan; write to an associated memory, for access at a computing device of a healthcare provider, treatment information; communicate with an interface, at the computing device of the healthcare provider; and modify at least one of the at least one aspect and any other aspect of the treatment plan in response to receiving treatment plan input including at least one modification to the at least one of the at least one aspect and any other aspect of the treatment plan.",Daniel Posnack,2021-05-06,https://patentimages.storage.googleapis.com/bc/14/15/ba5469e007d4cd/US11317975.pdf,google patents
US11461664B2,Methods and systems for an artificial intelligence alimentary professional support network for vibrant constitutional guidance,"A system for an artificial intelligence alimentary professional support network for vibrant constitutional guidance includes at least a server. The system includes a diagnostic engine designed and configured to receive a biological extraction from a user and generate a diagnostic output based on the biological extraction. The system includes an advisor module designed and configured to receive a request for an advisory input, generate an advisory output using the request for an advisory input and the diagnostic output, and transmit the advisory output. The system includes an alimentary input module designed and configured to receive the advisory output, select an informed advisor alimentary professional client device as a function of the request for an advisory input, and transmit the at least an advisory output to the informed advisor alimentary professional client device.",,2020-11-12,https://patentimages.storage.googleapis.com/0b/d8/33/4cef1c34d15e39/US11461664.pdf,google patents
US11147650B2,"Sterile site apparatus, system, and method of using the same","Apparatus, system, and methods are provided for reducing infectious agents at a sterile site by preventing infectious agents from coming into contact with the sterile site. A barrier is produced for infectious agents that may come in proximity or otherwise communicate with the site. The apparatus is configured to create a void-free barrier in which infectious agents are reduced with minimal exposure of potentially harmful effects of the barrier to the sterile site, objects, or users of the apparatus.",Kevin McGough,2019-08-29,https://patentimages.storage.googleapis.com/12/df/b7/4414c05ff48f55/US11147650.pdf,google patents
WO2020206695A1,System for decentralized ownership and secure sharing of personalized health data,"The system disclosed implements a secure method for facilitating secure exchange of health information among various stakeholders, including data owners or contributors, data requestors or miners, and medical providers, including hospitals, clinics, and research laboratories. Additional aspects of the system provide means for conducting secure research on health data collected from data contributors. Health information is exchanged using a decentralized system that incentivizes data contributors to provide health data to data miners. The data miners, which may be pharmaceutical companies, medical laboratories, or hospitals, use various methods in order to perform research on aggregated contributor data, while maintaining contributor privacy.",,2020-10-15,https://patentimages.storage.googleapis.com/e8/ad/d2/640265d9270cdd/WO2020206695A1.pdf,google patents
CN107808124B,"Electronic device, the recognition methods of medical text entities name and storage medium","The invention discloses a kind of electronic device, medical text entities name recognition methods and storage mediums.First, medical text to be identified is identified using the first CRF model of training in advance, identify the medical terminology in medical text to be identified, secondly, it is identified using the medical terminology that the 2nd CRF model of training in advance identifies the first CRF model, identifies the corresponding flag sequence of each medical terminology, finally, according to the mapping relations of predetermined entity name and flag sequence, the entity name that each flag sequence includes is determined.In such manner, it is possible to solve the problems, such as that existing Entity recognition scheme can not accurately carry out related entities in medical text and identify.It is able to solve the problem of existing Entity recognition scheme can not accurately carry out the identification of related entities in medical text.",,2018-03-16,https://patentimages.storage.googleapis.com/5a/7c/36/a5dec2d9482be4/CN107808124B.pdf,google patents
US20200402656A1,Ui design for patient and clinician controller devices operative in a remote care architecture,"A system, method and network architecture for facilitating remote care delivery involving a patient having an implantable medical device (IMD). Upon establishing a remote care session between a patient controller device and a clinician programmer, wherein the clinician and the patient are remotely located with respect to each other, telehealth consultation may be provided to the patient by the clinician via an audiovisual (AV) communications session channel. Responsive to determining that the patient requires remote therapy, one or more (re)programming instructions may be provided to the patient's IMD via a remote therapy session channel of the remote care session using an integrated graphical user interface (GUI) that may include suitable GUI controls for AV communications, remote session control as well as the remote programming of the patient's IMD.",Germinal Ibarrola,2020-12-24,https://patentimages.storage.googleapis.com/0f/57/81/9e5ee06f1bfba3/US20200402656A1.pdf,google patents
US20210169417A1,Mobile wearable monitoring systems,"This document describes technology comprising of one or more wearable devices (i.e. attached or applied to limbs, body, head or other body extremities but also applicable to implanted or physiologically attachable systems). These systems have a means of enabling diagnostic or prognostic monitoring applicable to monitoring relevant parameters and corresponding analysis determination and characterisation applicable to the onset or detection of events or health conditions of interest. One application relates to sleep monitoring and associate EEG sensors.",,2021-06-10,https://patentimages.storage.googleapis.com/fd/44/6a/4a20ecd9523344/US20210169417A1.pdf,google patents
CN113140279B,Method and system for describing and recommending optimal rehabilitation plan in adaptive telemedicine,"A method for providing an optimal rehabilitation plan by an artificial intelligence engine for use with a rehabilitation device is disclosed. The method includes receiving clinical information from a data source relating to results of performing a particular rehabilitation plan on a person having certain characteristics using a rehabilitation device. The clinical information has a first data format. The method further includes converting a portion of the clinical information from the first data format into a medical description language used by the artificial intelligence engine, determining an optimal rehabilitation plan to follow for the subject to use the rehabilitation device to achieve a desired result based on the portion of the clinical information described by the medical description language and a plurality of characteristics associated with the subject, and providing the optimal rehabilitation plan for presentation on a computing device of a medical professional.",,2021-07-20,https://patentimages.storage.googleapis.com/8d/21/d4/57907d8a355113/CN113140279B.pdf,google patents
US10722180B2,Deep learning-based diagnosis and referral of ophthalmic diseases and disorders,"Disclosed herein are systems, methods, devices, and media for carrying out medical diagnosis of ophthalmic diseases and conditions. Deep learning algorithms enable the automated analysis of ophthalmic images to generate predictions of comparable accuracy to clinical experts.",Rui Hou,2019-04-18,https://patentimages.storage.googleapis.com/e6/70/00/7f0b75c23eb4c9/US10722180.pdf,google patents
US11003796B2,Artificial intelligence based document processor,An Artificial Intelligence (AI) based document processing system receives a request including one or more documents related to a process to be automatically executed. The information including the fields and an intent required for the process are extracted from one or more of the request and the documents. The required documents and fields are selected based on the intent and a domain model. The required fields are validated using external knowledge and the discrepancies identified therein are resolved. An internal master document is built based on the required fields. The internal master document is employed for the automatic execution of the process which can include a de-identification process or an appeal process.,Travis Bowers,2019-11-21,https://patentimages.storage.googleapis.com/f9/1c/2b/7a1eb4b1192e05/US11003796.pdf,google patents
US20210020294A1,"Methods, devices and systems for holistic integrated healthcare patient management",A method for managing a treatment is provided. The method is under control of a processor. The method obtains a body generated analyte (BGA) indicative of a malnutrition state (MS) characteristic of interest (COI) of a patient and obtains implantable medical device (IMD) data indicative of a physiologic COI from the patient. The method assigns a health risk index based on the MS COI and the physiologic COI. The health risk index is indicative of a chronic disease state and malnutrition state currently exhibited by the patient. The method generates a treatment notification based on the health risk index.,Rahul Agarwal,2021-01-21,https://patentimages.storage.googleapis.com/51/97/7d/dadb6142f23605/US20210020294A1.pdf,google patents
US11075000B2,Method and system for using virtual avatars associated with medical professionals during exercise sessions,"A computer-implemented system includes a treatment apparatus manipulated by a patient while performing an exercise session and a patient interface that receives a virtual avatar. The patient interface presents the virtual avatar. The virtual avatar uses a virtual representation of the treatment apparatus to guide the patient through an exercise session. A server computing device provides the virtual avatar of the patient to the patient interface and receives a message pertaining to a trigger event. The message includes a severity level of the trigger event. The server computing device determines whether a severity level of the trigger event exceeds a threshold severity level, and responsive to determining the severity level of the trigger event exceeds the threshold severity level, replaces on the patient interface the presentation of the virtual avatar with a presentation of a multimedia feed from a computing device of the medical professional.",Daniel Posnack,2021-05-06,https://patentimages.storage.googleapis.com/5f/a9/0d/95512d49d6584d/US11075000.pdf,google patents
US10354171B2,Deep learning medical systems and methods for image reconstruction and quality evaluation,"Methods and apparatus to automatically generate an image quality metric for an image are provided. An example method includes automatically processing a first medical image using a deployed learning network model to generate an image quality metric for the first medical image, the deployed learning network model generated from a digital learning and improvement factory including a training network, wherein the training network is tuned using a set of labeled reference medical images of a plurality of image types, and wherein a label associated with each of the labeled reference medical images indicates a central tendency metric associated with image quality of the image. The example method includes computing the image quality metric associated with the first medical image using the deployed learning network model by leveraging labels and associated central tendency metrics to determine the associated image quality metric for the first medical image.",Gopal Avinash,2019-01-24,https://patentimages.storage.googleapis.com/fc/0f/a5/2a8c372d002c4b/US10354171.pdf,google patents
US9536052B2,Clinical predictive and monitoring system and method,"A clinical predictive and monitoring system comprising a data store operable to receive and store data associated with a plurality of patients selected from medical and health data; and a number of social, behavioral, lifestyle, and economic data; at least one predictive model to identify at least one high-risk patient associated with at least one medical condition; a risk logic module operable to apply the at least one predictive model to the patient data to determine at least one risk score associated the at least one medical condition and identify at least one high-risk patient; a data presentation module operable to present notification and information to an intervention coordination team about the identified at least one high-risk patient; and an artificial intelligence tuning module adapted to automatically adjust parameters in the predictive model in response to trends in the patient data.",Timothy S. Swanson,2013-10-03,https://patentimages.storage.googleapis.com/5b/03/68/99ba58ec5c67be/US9536052.pdf,google patents
US10353937B2,Automated characterization-vector based recommendation,"Systems, methods, and devices for automated provisioning are disclosed herein. The system can include a memory including a user profile database having n-dimension attributes of a user. The system can include a user device and a source device. The system can include a server that can: generate and store a user profile in the user profile database and generate and store a characterization vector from the user profile. The server can identify a service for provisioning, receive updates to at least some of the attributes of the first user, and trigger regeneration of the characterization vector from the received inputs. The server can: regenerate the characterization vector, determine an efficacy of the provisioned services, and automatically identify a second service for provisioning for a second user based on the efficacy of the provisioned services to the first user.",Christopher A. McDonald,2018-10-18,https://patentimages.storage.googleapis.com/92/c4/ca/29386d04319ea6/US10353937.pdf,google patents
US11355240B2,Determination of health sciences recommendations,"A method and apparatus can include a system controller and a system processor. The system controller can retrieve a health science related dataset from at least one database, the retrieved dataset including information associated with at least one of a patient medical information, healthcare provider clinical information, health related publications and treatment information, and pharmaceutical information, and transmit to a user equipment a recommendation of at least one of health diagnosis and treatment for a patient. The system processor can utilize multidimensional nonlinear manifold clustering on at least one element from the retrieved dataset, assign an entity formulated from the at least one element of the retrieved dataset into a decision hyper-volume based on the multidimensional nonlinear manifold clustering, and determine the recommendation of at least one of health diagnosis and treatment for the patient based on the assignment of the entity into the decision hyper-volume.",Tell Gates,2019-03-28,https://patentimages.storage.googleapis.com/6b/8d/8a/7b68b283f727ab/US11355240.pdf,google patents
EP3667609A1,Method and apparatus for reconstructing medical image,"Provided is a method and apparatus for reconstructing a medical image. The apparatus for reconstructing a medical image generates at least one base image by reducing a dimensionality of a three-dimensional (3D) medical image, generates at least one segmented image by reducing a dimensionality of a 3D image of a region of a tissue segmented from the 3D medical image or a 3D image of a region excluding the tissue from the 3D medical image, and trains, by using training data including the at least one base image and the at least one segmented image, an artificial intelligence (AI) model that separates at least one tissue from a medical image showing a plurality of tissues overlapping one another on the same plane.",,2020-06-17,https://patentimages.storage.googleapis.com/d0/4c/5c/c708f396e2680d/EP3667609A1.pdf,google patents
US20170249434A1,"Multi-format, multi-domain and multi-algorithm metalearner system and method for monitoring human health, and deriving health status and trajectory","Real-time and individualized disease monitoring is central to rapidly evolving medical sciences and technologies, but for the vast majority of patients, disease progression and treatment are monitored only in an irregular and discontinuous fashion. Consequently, disease progression and relapse are often allowed to proceed too far before they are detected, compromising the possibility of any effective treatment. For one patient, this can mean becoming refractory to the few early drug treatments that are available; for another, missing early detection may be deadly. This invention provides a method for the detection of early signals of disease and recovery thereof comprising a universal yet personalized health-monitoring solution using cell phones or other wearable smart device data that generate extensive real-time data. The invention further provides a system and method to provide answers to a variety of questions related to the patient health status and health trajectory. Its flexibility and generality is designed for a preferred application to rare disorders and rare questions for which other analytical system are lacking.",,2017-08-31,https://patentimages.storage.googleapis.com/aa/8c/a6/9f44756325ecf4/US20170249434A1.pdf,google patents
US20220193491A1,Systems and methods of using artificial intelligence and machine learning for generating alignment plans to align a user with an imaging sensor during a treatment session,"Systems, methods, and computer-readable mediums for generating, by an artificial intelligence engine, one or more alignment plans for aligning a user with an imaging sensor. The method comprises generating one or more machine learning models trained to identify alignment plans. The method also comprises receiving user data and determining that a targeted portion of a body of the user is outside of a field of view of the imaging sensor. The method further comprises generating the one or more alignment plans using the one or more machine learning models. Each of the one or more alignment plans comprises a target location within the field of view of the imaging sensor and one or more elements for adjusting the targeted portion of the body from a first location to the target location. The method also comprises transmitting the one or more alignment plans to a computing device.",Daniel Posnack,2022-06-23,https://patentimages.storage.googleapis.com/c3/3d/ad/04ce9a4d2b91c6/US20220193491A1.pdf,google patents
