Title,Application Number,Applicant,Inventor,Abstract,Number element
ARTIFICIAL INTELLIGENCE BASED AUTOMATIC PREDICTION AND PREVENTION OF GASTRIC CANCER AND LUNG CANCER USING IMAGE PROCESSING AND DEEP LEARNING ALGORITHMS,G06K /,J. Vaishnavi,J. Vaishnavi,"ARTIFICIAL INTELLIGENCE BASED AUTOMATIC PREDICTION AND PREVENTION OF GASTRIC CANCER AND LUNG CANCER USING IMAGE PROCESSING AND DEEP LEARNING ALGORITHMSAbstract:In the past decade, AI has contributed to the creation of innovative medical therapies and the enhancement of current ones. According to accumulating evidence, AI could be employed for cancer research and treatment. Stomach cancer, also known as stomach cancer, is an outstanding example of a condition that could serve as a test case for the first medical uses of artificial intelligence. Machine learning and deep learning are two artificial intelligence (AI)-based concepts. Machine learning is the capability to automatically learn data properties without being specifically programmed to do so (ML). It is a discipline of computer science and data science concerned with optimising the performance of computational methods. In cancer research, predictive prognostic models based on machine learning are becoming increasingly prominent. Deep learning (DL) is an area of ""machine learning"" (ML) that focuses on the study of multilayered computing processes. ML demands additional information about the characteristics of the data, whereas DL does not. Hence, DL algorithms are significantly more challenging to define than ML methods, and it may be impossible to do so. This essay examined the application of artificial intelligence to identify, treat, and predict stomach cancer. Convolutional neural networks (CNNs) and artificial neural networks (ANNs) were lauded for their unique contributions to their respective fields. With stomach cancer, there is still a great deal of work to be done in the clinic. Using AI to improve the diagnosis of stomach cancer is a good idea, despite the fact that similar endeavours are becoming more popular. The discoveries could have significant future implications for how we combat stomach cancer. The use of visual modalities may improve diagnostic capabilities, and integration, although time-consuming and laborious, may expand treatment options. It could be a useful tool for physicians and other health-care professionals. Not only do AI improvements in identifying and treating diseases assist patients, but they also transform our view of the future of medicine.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN235460185&_cid=P12-LTRE0S-24981-5
AI ASSISTED CENTRALIZED WEB CUM APPLICATION INTERFACE FOR PREGNANT WOMEN IN HILLY AREA OF UTTARAKHAND,A61B /,UTTARANCHAL UNIVERSITY,NIDHI GAIROLA,"Smartphones have now made their way into every hand and home on the planet. As a result, individuals are turning to handy smartphone applications to help them get through their days. The goal of this research is to develop a mobile application (app) to aid in the development of an effective health-care system in Uttarakhand hilly areas. Pregnant women can use this app to learn about a number of topics, such as the nearest PHC in their neighbourhood. Contacting an emergency service and providing first-aid information, a medicine alert system, and the wearable gadget calculating B.P., Heart Rate, and other metrics. This application will benefit pregnant ladies in hilly areas that want assistance. Who would be having problems picking which hospital is closest to them, to schedule an appointment with a doctor or to seek help in an emergency situation.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN235460185&_cid=P12-LTRE0S-24981-5
MASSAGING MECHANICAL ACTION CONTROL METHOD AND SYSTEM BASED ON AI SELF-ADAPTIVE ADJUSTMENT,G05B 13/04,"GUANGDONG YIFOSHOU HEALTH TECHNOLOGY CO., LTD.",GUO CHENGXIANG,"According to the AI adaptive adjustment-based massage mechanical action control method and system provided by the embodiment of the invention, when the target operation object is acted, the initial action control strategy is generated according to the control decision data; and controlling the mechanical arm to act on the target operation object in combination with three-dimensional characteristics of path data, attitude data and acting force data indicated by the initial action control strategy, and if the target operation object deviates in the process that the mechanical arm acts on the target operation object, controlling the mechanical arm to act on the target operation object. If yes, the initial action control strategy is subjected to self-adaptive adjustment to obtain a target action control strategy, and then the target action control strategy is used for controlling the mechanical arm to act on the target operation object again. In this way, self-adaptive effect adjustment of the target operation object can be achieved, when the mechanical arm is applied to a massage scene, the control intelligence degree of the mechanical arm can be improved, and the mechanical arm is prevented from presenting rigidity and stiffness in the massage effect process.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN235460185&_cid=P12-LTRE0S-24981-5
YANG-TONIFYING AND KIDNEY-WARMING AI RONG CAKE,A61K 36/8945,"GUANGZHOU NEW-DESIGN BIOTECHNOLOGY CO., LTD.",ZHANG SHAOWEI,"The invention relates to the field of traditional Chinese medicine, and discloses Yang-tonifying and kidney-warming ai rong cake. The Yang-tonifying and kidney-warming ai rong cake is prepared from 70to 95 parts of ai rong, 16.5 to 13.5 parts of cortex cinnamomi, 16.5 to 13.5 parts of folium epimedii, 9 to 11 parts of prepared rehmannia roots in Dahuai, 9 to 11 parts of rhizoma dioscoreae, 16.5 to 13.5 parts of radix morindae officinalis, 9 to 11 parts of fructus corni officinalis, 9 to 11 parts of fructus lycii, 8.1 to 9.9 parts of rhizoma alismatis, 8.1 to 9.9 parts of poria cocos, 8.1 to 9.9 parts of cortex moutan, 18 to 22 parts of deerhorn gelatin, 18 to 22 parts of semen cuscutae, 18 to 22 parts of eucommia barks, 9 to 11 parts of radix angelicae sinensis and 18 to 22 parts of radixaconiti lateralis praeparata. The preparation method comprises the following steps that after wormwood herb is dried, extraction is performed to obtain ai rong; medicine agent preparation and ai rongcake pressing are performed. The ai rong cake provided by the invention has the effects of Yuanyang, tonifying Qi and blood, improving the immunity and the like; the health preservation effect is achieved during moxibustion health care.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN235460185&_cid=P12-LTRE0S-24981-5
ARTIFICIAL INTELLIGENCE VOICE ASSISTANCE FOR COMPUTERS USING PYTHON,G06N /,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr. I. JASMINE SELVAKUMARI JEYA,"■ Al is the core specialization of making smart machines, especially computer , programs. It relates with the familiar task of using computers to understand human , . intelligence.-AI is broadly classified the study of computations that permit for '. perception, reason and action. This paper gives an overview idea of a personal-assistant for Windows based systems. The system draws its inspiration from 'virtual assistants like Cortana for Windows and Siri for iOS. It has been designed to 'provide-a user-friendly interface for carrying out a variety of tasks by employing certain well-defined commands. As a personal assistant, this paper ■focuses upon assistance of end-user with day-to-day activities like general human ■ ■ • conversation, searching queries on Google, searching for videos, retrieving "" • images, live weather conditions, word meanings, searching for medicine details, health recommendations based on symptoms and reminding the user about the scheduled events and tasks. The user statements/commands are analyzed with the - help.of machine learning to give an optimal solution.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN235460185&_cid=P12-LTRE0S-24981-5
INTELLIGENT TEMPERATURE CONTROL MEDICINE MANAGEMENT CABINET,G07F 17/00,SHENZHEN BAOAN MATERNAL AND CHILD HEALTH HOSPITAL,GUO HUIJUAN,"The invention discloses an intelligent temperature control medicine management cabinet. A cabinet body comprises a main cabinet, an oral medicine placing drawer, a refrigerated cabinet, a shady and cool cabinet and a normal temperature cabinet, and a display screen and a temperature and humidity display panel are arranged on the surface of the cabinet body; an information acquisition camera is arranged on the display screen; a temperature control module and a central control system are arranged in the cabinet body; at least two groups of monitoring cameras are arranged at the top of the cabinet body; a plurality of medicine storage boxes are arranged in the main cabinet, the refrigerated cabinet, the shady and cool cabinet and the normal-temperature cabinet; the oral medicine placing drawer is provided with a plurality of medicine storage boxes; and an RFID reader module, a finger vein recognition module, a face recognition module and a code reading module are arranged in the cabinet body. The internet of things technology and a medicine management system are combined, and medicine management is intelligent; the drug stock is automatically counted by adopting an intelligent drug quantity identification AI algorithm; an internet-of-things management and control platform is used for efficiently managing and controlling medicines; an electronic fence technology is combined with the medicine management system, so that the medicine safety and the medication safety are ensured.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN235460185&_cid=P12-LTRE0S-24981-5
INTELLIGENT TEMPERATURE CONTROL MEDICINE MANAGEMENT CABINET,G07F 17/00,SHENZHEN BAOAN MATERNAL AND CHILD HEALTH HOSPITAL,GUO HUIJUAN,"The utility model discloses an intelligent temperature control medicine management cabinet. A cabinet body comprises a main cabinet, an oral medicine placing drawer, a refrigerated cabinet, a shady and cool cabinet and a normal temperature cabinet, a display screen and a temperature and humidity display panel are arranged on the surface of the cabinet body; an information acquisition camera is arranged on the display screen; a temperature control module and a central control system are arranged in the cabinet body; at least two groups of monitoring cameras are arranged at the top of the cabinet body; a plurality of medicine storage boxes are arranged in the main cabinet, the refrigerated cabinet, the shady and cool cabinet and the normal-temperature cabinet; the oral medicine placing drawer is provided with a plurality of medicine storage boxes; an RFID reader module, a finger vein recognition module, a face recognition module and a code reading module are arranged in the cabinet body.According to the utility model, the Internet of Things technology is combined with the medicine management system, so that the medicine management is intelligent; automatically counting the drug stock by adopting an intelligent drug quantity identification AI algorithm; the internet-of-things management and control platform is used for efficiently managing and controlling medicines; an electronicfence technology is combined with a medicine management system, so that the medicine safety and the medication safety are ensured.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
NOVEL APPROACH FOR MEDICAL RECORD & STOCK INVENTORY OPTIMIZATION WITH WOT ENABLED AI PLATFORM,G16H 10/60,Ms.K. Priyadharsini,Ms.K. Priyadharsini,Abstract: Globally all are fighting against a dreadful disease COVID-19. Impact of COVID -19 is increasing day by day and people of all age groups are getting affected. International Narcotics Control Board (INCB) and the World Health Organization (WHO) ensure that all people in the world are supplied with the proper medication. This invention states a leading edge in the field of medication. With the House Hold Survey (HSS) report by All India Institute of medical science major population of India consume regular medicine as prescribed by doctor. India holds second position with 77% of people with diabetes. So these people consume medicine regularly. The availability of medicine during this situation is one more concern. Due to the pandemic outbreak there is also restriction on purchase on quantity on medicine. In India same medicine are available with different combination and composition of drug. This invention ensures an equivalent generic medicine from the branded medicine. In an emergency situation during this outbreak of dreadful disease find same combination of branded medicine in the medical store is difficulty. So this invention helps to formulate equal generic medicine. The invention also helps to notify availability of the stock in nearby store. Experts write the prescription in their own way of handwriting thus pharmacologist miss read the composition and deliver wrong medicine. Thus medication error may cause a human life so this invention optimizes the medication error by using various algorithms.,https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
TRADITIONAL CHINESE MEDICINE COMPOSITION FOR TREATING SUBOPTIMAL HEALTH AND PREPARATION METHOD FOR SAME,A61K 36/725,"ANYCHECK INFORMATION TECHNOLOGIES CO.,LTD","ZHANG, Guanjing","A traditional Chinese medicine composition for treating suboptimal health, and a preparation method for same, the components and parts by weight of the composition for treating suboptimal health being: 25-35 parts by weight Folium artemisiae argyi, 55-65 parts by weight Radix Puerariae, 45-55 parts by weight Radix paeoniae alba, 15-25 parts by weight Herba menthae, 10-20 parts by weight hoelen, 30-50 parts by weight Fructus jujubae, 45-55 parts by weight Radix acanthopanacis senticosi, 55-65 parts by weight Ramulus cinnamomi, 25-35 parts by weight Radix astragali, 25-35 parts by weight Cuscuta, 25-35 parts by weight ginseng leaf, and 15-25 parts by weight Ligusticum striatum.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
"ARTIFICIAL INTELLIGENCE AND IOT BASED AUTOMATIC SMART HEALTH CARE SYSTEM TO MONITOR AND AVOID BLOOD PRESSURE AND LUNG CANCER TO AVOID IT EARLY STAGES FOR HEALTHY LIFE FOR ALL AGES USING WSN, IMAGE PROCESSING AND DEEP LEARNING ALGORITHMS",G06N /,K R Saradha,K R Saradha,"Artificial Intelligence and IoT based Automatic smart health care system to monitor and avoid Blood pressure and Lung cancer to avoid it early stages for healthy life for all ages using WSN, image processing and deep learning algorithmsAbstract:Despite the fact that the old proverb ""health is wealth"" is accurate, many people struggle with their health care nowadays. A medical problem requires a diagnosis. IoT is essential to the process of disease diagnosis since it is used to monitor a wide variety of sensor devices. The internet of things will significantly influence the expansion of the clinical services sector. The Internet of Things (IoT) is gaining importance in today's healthcare system because to its adaptability and applicability in a number of clinical circumstances. Consequently, both patients and physicians profit. In the near future of the internet of things for healthcare, several devices will collect, analyse, and transmit real-time clinical data to public, private, or hybrid clouds. This will allow for the generation of context-based warnings and new methods for constructing, stacking, and analysing huge data streams. Several diseases have immediate effects on culture and contribute to public health problems. Chronic obstructive pulmonary disease (COPD) and pulmonary hypertension are the third and fourth leading causes of death worldwide, respectively. With almost 10.4 million new cases and 1.7 million fatalities annually, TB ranks tenth. A problem that has plagued medicine for a long time is identifying pulmonary structures in images. Recent studies have demonstrated that computerised technologies, such as Computerized Tomography (CT) and Internet of Things (IoT) approaches based on the health of things, considerably aid physicians in identifying lung problems. This paper presents a new approach for identifying and splitting CT images of the lungs based on AI and IoT. Combining the deep learning transfer learning method with Parzen's probability density accomplishes this.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
MOXA HEALTH CARE PILLOW,A47G 9/10,"NANYANG HUAKANG AI PRODUCTS CO., LTD.",JI LIANGYUAN,"The utility model discloses a moxa health care pillow. The pillow comprises a woven pillow belt and a pillow core, wherein the woven pillow belt surrounds the periphery of the pillow inner; wherein the pillow inner comprises an antibacterial cloth bag, a latex cushion block and a health-care main inner; a latex cushion block is arranged in the antibacterial cloth bag; a health care main core is arranged in the center of the latex cushion block; the health care main core comprises a breathable medicine bag and a moxa layer. The moxa layer is arranged in the breathable medicine bag, teeth meshedup and down are arranged on the side face of one side of the antibacterial cloth bag, a zipper is installed at one end of each tooth, a first hook-and-loop fastener is arranged on the bottom face ofthe left side end of the bottom of the woven pillow belt, and a second hook-and-loop fastener is arranged on the inner side face of the right side end of the bottom of the woven pillow belt. By arranging the woven pillow belt, the moxa layer, the first hook-and-loop fastener, the second hook-and-loop fastener, the teeth and the zipper, the problems that in the prior art, neck supporting cannot beprovided, and the health care effect is not achieved are solved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
MEDICATION COMPLIANCE ASSESSMENT METHOD,G16H 70/40,"PEKING UNION MEDICAL COLLEGE HOSPITAL, CHINESE ACADEMY OF MEDICAL SCIENCES",LYU WEI,"The present invention discloses a medication compliance assessment method. The method comprises the steps of: recording actual medication time and the number of medication times of a patient; calculating and obtaining an actual medication completion rate W and an actual medication time accuracy rate Q through the actual values of the medication time and the number of medication times and a set value; setting weights [Alpha] and [Beta] for the influence of the medication compliance for the actual medication completion rate and the actual medication time accuracy rate; comprehensively calculating and obtaining a medication compliance index AI, wherein the closer to 100% the AI, the better the compliance, and the compliance is employed to pre-assess the medication effect and perform intervening for the patient medication. In a condition that the patient takes various medicines, the medication compliance index of each medicine can be subjected to further weighted average to obtain a comprehensive average medication compliance index. The method can accurately, timely and extensively reflect the patient's medicine taking condition and can fully consider the influences of different diseases and different medicine treatments on the calculation of the compliance so as to allow the indexes to more have actual meaning in the guidance of the clinic disease management.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
ANTI-CANCER TRADITIONAL CHINESE MEDICINE COMPOUND GANODERMA PREPARATION AND PREPARATION METHOD THEREOF,A61K 36/896,"Beijing Jiujiu Fangyuan Health Products Distribution Co., Ltd.",Dong Yingjie,"The invention discloses an oral traditional Chinese medicine compound Mythic Fungus preparation and preparation method thereof, which belongs to the medicine and health product technology field. The preparation is made from the following raw materials according to the weight parts of: Mythic Fungus 1500-4000 parts, Mythic Fungus spore powder 400-600 parts, bighead atractylodes rhizome 250-400 parts, pseudo-ginseng 100-200 parts, Ligusticum wallichii 100-200 parts, muscardine silkworm 70-150 parts, heydyotis 70-150 parts, Smilax glabra 70-150 parts and licorice 40-60 parts. The medicament in the invention has stable anticancer effective components, has a high tumor inhibitory ratio verified by various in vivo/vitro tests, can increase body immunity substantially, has definite antitumor effect, and can be combined with chemotherapeutics to improve the effect while reduce the toxicities of the chemotherapeutics.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
HEALTH-CARE FOOT PATCH,A61K 36/758,"JIANGXI LVSEN PLANTING DEVELOPMENT CO., LTD.",AI SHENG,"The health care foot patch comprises a foot patch body, the foot patch body comprises an upper surface layer and a lower surface layer, air holes are evenly distributed in the upper surface layer, an arc-shaped structure is arranged on one side of the foot arch portion of the foot patch body, the arc-shaped structure protrudes out of the upper surface layer of the foot patch body, deodorant is filled in the arc-shaped structure, and a traditional Chinese medicine layer is filled in the foot patch body. a soft layer is arranged on the upper surface layer of the heel part, and a fixing patch for binding toes is arranged at the front end of the sole part of the foot patch body. Compared with the prior art, the utility model has the advantages that foot odor can be removed through the deodorant; The traditional Chinese medicine layer can be used for maintaining feet, so that the health-care and health-preserving effects are achieved; The fixing sticker is wound on a big toe and is not prone to deviating when worn in a shoe, a heel steps on the soft layer to be soft and comfortable, and when the foot sticker body is in the shoe, the silica gel protrusions on the lower surface layer can prevent skidding.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
MEDICATION ADHERENCE ASSESSMENT METHOD,G16H 70/40,SHANGHAI MSENSE HEALTH TECHNOLOGY INC,"LYU, Wei","A medication adherence assessment method. The assessment method comprises: first recording actual medication time and medication frequency of a patient; obtaining an actual medication completion rate W and an actual medication time accuracy rate Q by means of calculation based on the actual values of the medication time and medication frequency as well as set values; setting weights α and β for the influences of the actual medication completion rate and the actual medication time accuracy rate on medication adherence; and obtaining a medication adherence index AI by means of comprehensive calculation, wherein the closer to 100% the value of the AI, the better the adherence, and estimating the medication effect on the basis of the adherence and intervening in the medication of the patient. In the case that the patient takes multiple medicines, the medication adherence index of each medicine may further be subjected to weighted averaging, so as to obtain a comprehensive average medication adherence index. The method can accurately and extensively reflect the medication of the patient in time, and can fully take into account the influences of different diseases and different medicine treatments on the calculation of the adherence, thereby enabling the adherence index to have more practical significance in the guidance of clinic disease management.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
SMART VOICE ASSISTANT FOR WINDOWS OS AND WEB TASKS: AN AI AUTOMATION SOLUTION,G10L /,"Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Prof. Subhash Nalawade,"Today the technological advancement is increasing day by day. Earlier only there was a computer system in which we can do only few tasks. But now machine learning, artificial intelligence, deep learning, and few more technologies have made computer systems so advance that we can perform any type of task. In such era of advancement if people are still struggling to interact using various input devices, then it’s not worth it. For this reason, we developed a voice assistant using python which allows the user to run any type of command without interaction with keyboard. The main task of voice assistant is to minimize the use of input devices like keyboard, mouse etc. It will also reduce the hardware space and cost. We use python as a programming language because it has major libraries which is use to execute commands. By using python installer packages our personal virtual assistant recognize the user voice and process on it. As a personal assistant, the end-user with day-to-day activities like general human conversation, searching queries in Google, or Yahoo, searching for videos, retrieving images, live weather conditions, word meanings, searching for medicine details, health recommendations based on symptoms and reminding the user about the scheduled events and tasks.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN310877235&_cid=P12-LTRE0S-24981-6
PREPARATION METHOD AND APPLICATION OF AMPELOPSIS GROSSEDENTATA TEA AND BLACK TEA COMPOSITE HEALTH HERBAL TEA BEVERAGE,A23F 3/16,GUIZHOU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,WEI LIN,"The invention discloses a preparation method and application of an ampelopsis grossedentata tea and black tea composite health herbal tea beverage. The preparation method comprises the following steps: step 1, weighing; step 2, pretreatment; step 3, juicing; step 4, impurity removal; step 5, extraction; step 6, extraction; step 7, centrifuging; step 8, concentration; step 9, proportioning; step 10, sterilizing; step 11, quality inspection; the herbal tea beverage is compounded by taking ampelopsis grossedentata tea and black tea as main formulas, replaces traditional Chinese herbal medicine raw materials, has the antihypertensive and weight-losing effects of reducing blood pressure, blood fat and blood sugar, supplements vitamins, obtains a health-care effect, meets the drinking requirements of different consumers, improves the purification degree of functional components, and is suitable for large-scale popularization and application. The beverage is light brown, mellow in taste, sweet and fragrant, free of pungency and bitterness of Chinese herbal medicines, and pure and mellow in taste, is an ideal health-care herbal tea beverage, and is suitable for large-scale popularization and application.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN406544136&_cid=P12-LTRE0S-24981-7
ARTIFICIAL INTELLIGENCE BASED (BP) BLOOD- PRESSURE DROPPING SYSTEM FOR AVOIDANCE OF CARDIOVASCULAR- DISEASE USING DATA MINING AND MACHINE LEARNING TECHNIQUES FOR HEALTH CARE MANAGEMENT,G06N /,Dr.Dharmasoth.RamaDevi,Dr.Dharmasoth.RamaDevi,"Artificial Intelligence based (BP) Blood- pressure dropping system for avoidance of cardiovascular- disease using Data Mining and machine learning Techniques for Health care Management ABSTRACT: The incidence of hypertension is on the rise in tandem with a progressively ageing global population, resulting in a significant number of early fatalities each year on a global scale. The primary obstacles to achieving adequate hypertension care are a lack of awareness regarding elevated blood pressure (BP) and suboptimal diagnosis of hypertension. The emergence of artificial intelligence (AI) has brought forth novel approaches to the management of hypertension, including the provision of remote support through telemedicine and the utilisation of predictions obtained from big data. There exists a substantial body of research that supports the viability of utilising artificial intelligence (AI) technologies in the management of hypertension. An observable trend was identified in the integration of blood pressure measures with a range of wearable sensors and smartphones, enabling continuous and convenient monitoring. In the interim, it is recommended that additional inquiries be conducted in order to substantiate the innovative forecast and prognostic instruments. These groundbreaking advancements have taken a significant step towards establishing the future framework for the digital management of chronic diseases. Cardiovascular diseases (CVDs) have emerged as the predominant cause of mortality, owing to substantial shifts in quality of life and human behavioural patterns. Cardiovascular diseases (CVDs) are often followed by a range of consequences, encompassing numerous pathological alterations affecting the heart and/or blood vessels. The catalogue of pathological alterations include hypertension, coronary heart disease, heart failure, angina, myocardial infarction, and stroke. Therefore, the implementation of preventive measures and the timely identification of the disease could effectively mitigate its initiation or advancement. In contemporary times, the utilisation of machine learning (ML) methodologies has been increasingly prominent in the realm of disease prediction, establishing itself as a crucial instrument within the field of medicine. This study presents a methodology based on supervised machine learning with the objective of designing prediction models for cardiovascular disease manifestation. The study emphasises the superiority of the SMOTE technique in achieving efficient results. A comprehensive examination and comprehension of risk variables have been demonstrated to investigate their significance and role in predicting cardiovascular disease (CVD). The aforementioned factors are utilised as input features for a wide range of machine learning models. These models are then trained and evaluated to choose the best suitable one for our purpose inside a binary classification issue, where the class probability distribution is uniform. Several machine learning (ML) models were assessed following the use or omission of Synthetic Minority Oversampling Technique (SMOTE). The evaluation involved comparing the models based on metrics such as Accuracy, Recall, Precision, and the Area Under the Curve (AUC).",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN406544136&_cid=P12-LTRE0S-24981-7
"SYSTEM FOR REALIZING RAPID TRACEABILITY AND SCREENING MANAGEMENT AND CONTROL OF KEY CROWDS BASED ON BIG DATA AND AI TECHNOLOGY IN INFECTIOUS DISEASE PREVENTION AND CONTROL, AND METHOD AND APPLICATION THEREOF",G16H 50/80,SHANGHAI MUNICIPAL CENTER FOR DISEASE CONTROL & PREVENTION,XIA HAN,"The invention relates to a system for realizing rapid traceability and screening management and control of key crowds based on big data and artificial intelligence technology in infectious disease prevention and control, and a method and an application thereof. The system, the method and the application of the system comprise an infrastructure platform, a basic data platform, a public health emergency thematic database platform, a public health emergency service platform, a service application platform and an information entry platform. Wherein the public health emergency service platform is a basic support platform, and the public health emergency thematic database platform, the public health emergency service platform and the service application platform are used as core function modules, so that data interconnection and intercommunication are realized among the public health emergency service platform, the public health emergency thematic database platform and the service application platform, unified business scheduling is realized, multi-department joint logistics linkage is realized, enabling is performed for leader decision-making command and grassroots execution, management efficiency is improved by using intelligent and automatic means, and comprehensive management capability and treatment response capability for public health emergencies in ultra-large city operation are improved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN406544136&_cid=P12-LTRE0S-24981-7
ARTIFICIAL INTELLIGENCE AND CLOUD BASED AUTOMATIC SMART HEALTH CARE SYSTEM FOR (BP) BLOOD- PRESSURE DROPPING SYSTEM FOR AVOIDANCE OF CARDIOVASCULAR- DISEASE USING MACHINE LEARNING AND DEEP LEARNINGS,G06N /,Dr.Sanjay Kisanrao Bais,Dr.Sanjay Kisanrao Bais,"Artificial Intelligence and Cloud based Automatic Smart Health care system for (BP) Blood- pressure dropping system for avoidance of cardiovascular- disease using machine learning and Deep learnings ABSTRACT: The prevalence of hypertension is increasing concomitantly with the gradual aging of the global population, leading to a substantial number of premature deaths annually worldwide. The main challenges in attaining sufficient care for hypertension are a deficiency in knowledge regarding increased blood pressure (BP) and substandard identification of the condition. The advent of artificial intelligence (AI) has introduced innovative strategies for the management of hypertension, such as the delivery of remote assistance via telemedicine and the application of predictive analytics derived from large-scale datasets. There is a considerable amount of existing research that provides evidence for the effectiveness of incorporating artificial intelligence (AI) technologies in the management of hypertension. A discernible pattern has been observed in the incorporation of blood pressure measurements into various wearable sensors and smartphones, facilitating uninterrupted and user-friendly monitoring. During the interim period, it is advisable to carry out further investigations to validate the efficacy of the novel forecast and prognostic devices. These pioneering developments have made substantial progress in laying the foundation for the future framework of digital management in the context of chronic diseases. Cardiovascular diseases (CVDs) have become the leading cause of death due to significant changes in quality of life and human behavior patterns. Cardiovascular diseases (CVDs) are frequently accompanied by a variety of outcomes, involving many pathological changes that impact the heart and/or blood vessels. The inventory of pathological modifications include hypertension, coronary heart disease, heart failure, angina, myocardial infarction, and stroke. Hence, the efficient execution of preventative measures and the timely detection of the disease can significantly decrease its onset or progression. In recent years, the application of machine learning (ML) techniques has gained significant traction in the domain of disease prediction, emerging as a vital tool in the area of medicine. This paper introduces a methodology that utilizes supervised machine learning to develop prediction models for the manifestation of cardiovascular disease. The study highlights the efficacy of the SMOTE approach in attaining optimal outcomes. The significance and predictive role of risk variables in cardiovascular disease (CVD) have been shown through a thorough examination and understanding. The aforementioned factors are employed as input features in a diverse array of machine learning models. The aforementioned models are subsequently trained and assessed in order to select the most appropriate one for our specific objective within a binary classification problem, wherein the distribution of class probabilities is uniform. A variety of machine learning (ML) models were evaluated in relation to the inclusion or exclusion of Synthetic Minority Oversampling Technique (SMOTE). The evaluation encompassed the comparison of the models utilizing metrics such as Accuracy, Recall, Precision, and the Area Under the Curve (AUC).",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN406544136&_cid=P12-LTRE0S-24981-7
APPLICATION OF HOSTA PLANTAGINEA FLOWER EXTRACT IN PREPARATION OF MEDICINE AND HEALTH FOOD FOR TREATING ACUTE PHARYNGITIS,A61K 36/896,LIAONING UNIVERSITY,LIANG XIAO,"The invention discloses application of a hosta plantaginea flower extract in preparation of medicines and health-care foods for treating acute pharyngitis. The method comprises the following steps: mixing a dried hosta plantaginea flower medicinal material with a 70% ethanol water solution, and heating, refluxing and extracting for 2 hours at 100 DEG C; carrying out rotary evaporation and concentration on the obtained filtrate in a water bath at 60 DEG C to obtain a hosta plantaginea flower crude extract suspension; and performing isovolumetric dilution on the obtained hosta plantaginea crude extract suspension with water, loading a sample to a D101 type macroporous adsorption resin column, performing elution with pure water, discarding the pure water eluent, performing elution with a 40% +/-10% ethanol aqueous solution, eluting fractions, performing vacuum concentration to recover the ethanol solvent, and performing freeze-drying to obtain the hosta plantaginea extract. Animal experiments prove that the hosta plantaginea flower extract provided by the invention has a treatment effect on pharyngitis model animals and can be used for preparing anti-pharyngitis medicines or health-care foods, and the medicines or health-care foods are preparations prepared by taking the hosta plantaginea flower extract as a main raw material and have better development and utilization prospects.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN406544136&_cid=P12-LTRE0S-24981-7
