,title,authors,pdf_file,abstract,pub_date
31,Artificial Intelligence in Oral and Maxillofacial Surgery Education,['Deepak G Krishnan'],https://doi.org/10.1016/j.coms.2022.03.006,"Artificial intelligence has become ubiquitous with modern technology. Digital transformations are occurring in every field including medicine, surgery, and education. Computers and computer programs are getting sophisticated to form neural networks globally. These algorithms allow for sophisticated and complex pattern recognitions and make accurate predictions. This allows for both accurate diagnosis and prognostication in medicine and opens opportunities for medical and surgical education. Oral and Maxillofacial surgeons and OMS education like all of the surgery are adapting well to the world of AI, incorporating machine learning into simulation, and attaching sensors to master surgeons to understand motion economy.",Epub 2022 Oct 9.
32,Artificial intelligence in functional imaging of the lung,['Raúl San José Estépar'],https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9153712/pdf/bjr.20210527.pdf,"Artificial intelligence (AI) is transforming the way we perform advanced imaging. From high-resolution image reconstruction to predicting functional response from clinically acquired data, AI is promising to revolutionize clinical evaluation of lung performance, pushing the boundary in pulmonary functional imaging for patients suffering from respiratory conditions. In this review, we overview the current developments and expound on some of the encouraging new frontiers. We focus on the recent advances in machine learning and deep learning that enable reconstructing images, quantitating, and predicting functional responses of the lung. Finally, we shed light on the potential opportunities and challenges ahead in adopting AI for functional lung imaging in clinical settings.",Epub 2021 Dec 10.
33,Artificial Intelligence in Nutrients Science Research: A Review,"['Jarosław Sak', 'Magdalena Suchodolska']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7911928/pdf/nutrients-13-00322.pdf,"Artificial intelligence (AI) as a branch of computer science, the purpose of which is to imitate thought processes, learning abilities and knowledge management, finds more and more applications in experimental and clinical medicine. In recent decades, there has been an expansion of AI applications in biomedical sciences. The possibilities of artificial intelligence in the field of medical diagnostics, risk prediction and support of therapeutic techniques are growing rapidly. The aim of the article is to analyze the current use of AI in nutrients science research. The literature review was conducted in PubMed. A total of 399 records published between 1987 and 2020 were obtained, of which, after analyzing the titles and abstracts, 261 were rejected. In the next stages, the remaining records were analyzed using the full-text versions and, finally, 55 papers were selected. These papers were divided into three areas: AI in biomedical nutrients research (20 studies), AI in clinical nutrients research (22 studies) and AI in nutritional epidemiology (13 studies). It was found that the artificial neural network (ANN) methodology was dominant in the group of research on food composition study and production of nutrients. However, machine learning (ML) algorithms were widely used in studies on the influence of nutrients on the functioning of the human body in health and disease and in studies on the gut microbiota. Deep learning (DL) algorithms prevailed in a group of research works on clinical nutrients intake. The development of dietary systems using AI technology may lead to the creation of a global network that will be able to both actively support and monitor the personalized supply of nutrients.",
34,Artificial intelligence in medicine: A matter of joy or concern?,"['Kamila Kolanska', 'Nathalie Chabbert-Buffet', 'Emile Daraï', 'Jean-Marie Antoine']",https://doi.org/10.1016/j.jogoh.2020.101962,"Artificial Intelligence (AI), a concept which dates back to the 1950s, is increasingly being developed by many medical specialties, especially those based on imaging or surgery. While the cognitive component of AI is far superior to that of human intelligence, it lacks consciousness, feelings, intuition and adaptation to unexpected situations. Furthermore, fundamental questions arise with regard to data security, the impact on healthcare professions, and the distribution of roles between physicians and AI especially concerning consent to medical care and liability in the event of a therapeutic accident.",Epub 2020 Oct 23.
35,Artificial intelligence enabled carbon capture: A review,"['A K Priya', 'Balaji Devarajan', 'Avinash Alagumalai', 'Hua Song']",https://doi.org/10.1016/j.scitotenv.2023.163913,"Carbon capturing is imperative to fight climate change as much carbon emissions are liberated into the atmosphere, leading to adversely negative environmental impacts. Today's world addresses all the issues with the aid of digital technologies like data pooling and artificial intelligence (AI). Accordingly, this study is articulated based on AI-assisted carbon capturing. Techniques including machine learning (ML), deep learning (DL), and hybrid techniques being adopted in carbon capture are discussed. The role of AI tools, frameworks, and mathematical models are also discussed herein. Furthermore, the confluence of AI in carbon capture patent landscape is explored. This study would allow researchers to envision the growth of AI-assisted carbon capture in mitigating climate change and meeting SDG 13 - climate action.",Epub 2023 May 5.
36,Artificial Intelligence Technologies in the Microsurgical Operating Room (Review),"['A E Bykanov', 'G V Danilov', 'V V Kostumov', 'O G Pilipenko', 'B M Nutfullin', 'O A Rastvorova', 'D I Pitskhelauri']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10306972/pdf/STM-15-2-08.pdf,"Surgery performed by a novice neurosurgeon under constant supervision of a senior surgeon with the experience of thousands of operations, able to handle any intraoperative complications and predict them in advance, and never getting tired, is currently an elusive dream, but can become a reality with the development of artificial intelligence methods. This paper has presented a review of the literature on the use of artificial intelligence technologies in the microsurgical operating room. Searching for sources was carried out in the PubMed text database of medical and biological publications. The key words used were ""surgical procedures"", ""dexterity"", ""microsurgery"" AND ""artificial intelligence"" OR ""machine learning"" OR ""neural networks"". Articles in English and Russian were considered with no limitation to publication date. The main directions of research on the use of artificial intelligence technologies in the microsurgical operating room have been highlighted. Despite the fact that in recent years machine learning has been increasingly introduced into the medical field, a small number of studies related to the problem of interest have been published, and their results have not proved to be of practical use yet. However, the social significance of this direction is an important argument for its development.",Epub 2023 Mar 29.
37,"The use of artificial intelligence, machine learning and deep learning in oncologic histopathology","['Ahmed S Sultan', 'Mohamed A Elgharib', 'Tiffany Tavares', 'Maryam Jessri', 'John R Basile']",https://doi.org/10.1111/jop.13042,"Background: Recently, there has been a momentous drive to apply advanced artificial intelligence (AI) technologies to diagnostic medicine. The introduction of AI has provided vast new opportunities to improve health care and has introduced a new wave of heightened precision in oncologic pathology. The impact of AI on oncologic pathology has now become apparent, and its use with respect to oral oncology is still in the nascent stage.",Epub 2020 Jun 15.
38,Artificial Intelligence in Pathology,"['Stanley Cohen', 'Richard Levenson', 'Liron Pantanowitz']",https://doi.org/10.1016/j.ajpath.2021.07.011,,Epub 2021 Aug 13.
39,Current trends in artificial intelligence in reproductive endocrinology,"['Dhananjay Bhaskar', 'T Arthur Chang', 'Shunping Wang']",https://doi.org/10.1097/gco.0000000000000796,"Purpose of review: Artificial Intelligence, a tool that integrates computer science and machine learning to mimic human decision-making processes, is transforming the world and changing the way we live. Recently, the healthcare industry has gradually adopted artificial intelligence in many applications and obtained some degree of success. In this review, we summarize the current applications of artificial intelligence in Reproductive Endocrinology, in both laboratory and clinical settings.",Epub 2022 Jun 27.
40,Artificial intelligence and machine learning applications in biopharmaceutical manufacturing,"['Anurag S Rathore', 'Saxena Nikita', 'Garima Thakur', 'Somesh Mishra']",https://doi.org/10.1016/j.tibtech.2022.08.007,"Artificial intelligence and machine learning (AI-ML) offer vast potential in optimal design, monitoring, and control of biopharmaceutical manufacturing. The driving forces for adoption of AI-ML techniques include the growing global demand for biotherapeutics and the shift toward Industry 4.0, spurring the rise of integrated process platforms and continuous processes that require intelligent, automated supervision. This review summarizes AI-ML applications in biopharmaceutical manufacturing, with a focus on the most used AI-ML algorithms, including multivariate data analysis, artificial neural networks, and reinforcement learning. Perspectives on the future growth of AI-ML applications in the area and the challenges of implementing these techniques at manufacturing scale are also presented.",Epub 2022 Sep 15.
41,Artificial intelligence in neuropathology: Current status and future perspectives,['Vikas Vazhayil'],https://doi.org/10.4103/ijpm.ijpm_115_22,"Machine learning and artificial intelligence (AI) have become a part of our daily routine. There are very few of us who are not influenced by this technology. There are a lot of misconceptions about the scope, utility, and fallacies of AI. Digital neuropathology is an evolving area of research. The importance of digital image processing stems from the rapid gains in computer vision and image processing that have happened in the past decade thanks to advancements in deep learning (DL). The article attempts to present to the audience a simple presentation of the technology and attempts to provide a context-based understanding of the DL process for image processing. Also highlighted are current challenges and the roadblocks in adopting the technology in routine neuropathology.",
42,Future artificial intelligence tools and perspectives in medicine,"['Ahmad Chaddad', 'Yousef Katib', 'Lama Hassan']",https://doi.org/10.1097/mou.0000000000000884,"Purpose of review: Artificial intelligence has become popular in medical applications, specifically as a clinical support tool for computer-aided diagnosis. These tools are typically employed on medical data (i.e., image, molecular data, clinical variables, etc.) and used the statistical and machine-learning methods to measure the model performance. In this review, we summarized and discussed the most recent radiomic pipeline used for clinical analysis.",
43,Artificial Intelligence Surgery: How Do We Get to Autonomous Actions in Surgery?,"['Andrew A Gumbs', 'Isabella Frigerio', 'Gaya Spolverato', 'Roland Croner', 'Alfredo Illanes', 'Elie Chouillard', 'Eyad Elyan']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8400539/pdf/sensors-21-05526.pdf,"Most surgeons are skeptical as to the feasibility of autonomous actions in surgery. Interestingly, many examples of autonomous actions already exist and have been around for years. Since the beginning of this millennium, the field of artificial intelligence (AI) has grown exponentially with the development of machine learning (ML), deep learning (DL), computer vision (CV) and natural language processing (NLP). All of these facets of AI will be fundamental to the development of more autonomous actions in surgery, unfortunately, only a limited number of surgeons have or seek expertise in this rapidly evolving field. As opposed to AI in medicine, AI surgery (AIS) involves autonomous movements. Fortuitously, as the field of robotics in surgery has improved, more surgeons are becoming interested in technology and the potential of autonomous actions in procedures such as interventional radiology, endoscopy and surgery. The lack of haptics, or the sensation of touch, has hindered the wider adoption of robotics by many surgeons; however, now that the true potential of robotics can be comprehended, the embracing of AI by the surgical community is more important than ever before. Although current complete surgical systems are mainly only examples of tele-manipulation, for surgeons to get to more autonomously functioning robots, haptics is perhaps not the most important aspect. If the goal is for robots to ultimately become more and more independent, perhaps research should not focus on the concept of haptics as it is perceived by humans, and the focus should be on haptics as it is perceived by robots/computers. This article will discuss aspects of ML, DL, CV and NLP as they pertain to the modern practice of surgery, with a focus on current AI issues and advances that will enable us to get to more autonomous actions in surgery. Ultimately, there may be a paradigm shift that needs to occur in the surgical community as more surgeons with expertise in AI may be needed to fully unlock the potential of AIS in a safe, efficacious and timely manner.",
44,Artificial Intelligence in Spine Surgery,"['Justin K Scheer', 'Christopher P Ames']",https://doi.org/10.1016/j.nec.2023.11.001,"The amount and quality of data being used in our everyday lives continue to advance in an unprecedented pace. This digital revolution has permeated healthcare, specifically spine surgery, allowing for very advanced and complex computational analytics, such as artificial intelligence (AI) and machine learning (ML). The integration of these methods into clinical practice has just begun, and the following review article will describe AI/ML, demonstrate how it has been applied in adult spinal deformity surgery, and show its potential to improve patient care touching on future directions.",Epub 2023 Nov 29.
45,Artificial intelligence and machine learning in nephropathology,"['Jan U Becker', 'David Mayerich', 'Meghana Padmanabhan', 'Jonathan Barratt', 'Angela Ernst', 'Peter Boor', 'Pietro A Cicalese', 'Chandra Mohan', 'Hien V Nguyen', 'Badrinath Roysam']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8906056/pdf/nihms-1782308.pdf,"Artificial intelligence (AI) for the purpose of this review is an umbrella term for technologies emulating a nephropathologist's ability to extract information on diagnosis, prognosis, and therapy responsiveness from native or transplant kidney biopsies. Although AI can be used to analyze a wide variety of biopsy-related data, this review focuses on whole slide images traditionally used in nephropathology. AI applications in nephropathology have recently become available through several advancing technologies, including (i) widespread introduction of glass slide scanners, (ii) data servers in pathology departments worldwide, and (iii) through greatly improved computer hardware to enable AI training. In this review, we explain how AI can enhance the reproducibility of nephropathology results for certain parameters in the context of precision medicine using advanced architectures, such as convolutional neural networks, that are currently the state of the art in machine learning software for this task. Because AI applications in nephropathology are still in their infancy, we show the power and potential of AI applications mostly in the example of oncopathology. Moreover, we discuss the technological obstacles as well as the current stakeholder and regulatory concerns about developing AI applications in nephropathology from the perspective of nephropathologists and the wider nephrology community. We expect the gradual introduction of these technologies into routine diagnostics and research for selective tasks, suggesting that this technology will enhance the performance of nephropathologists rather than making them redundant.",Epub 2020 Apr 1.
46,Artificial intelligence in radiotherapy: a technological review,['Ke Sheng'],https://doi.org/10.1007/s11684-020-0761-1,"Radiation therapy (RT) is widely used to treat cancer. Technological advances in RT have occurred in the past 30 years. These advances, such as three-dimensional image guidance, intensity modulation, and robotics, created challenges and opportunities for the next breakthrough, in which artificial intelligence (AI) will possibly play important roles. AI will replace certain repetitive and labor-intensive tasks and improve the accuracy and consistency of others, particularly those with increased complexity because of technological advances. The improvement in efficiency and consistency is important to manage the increasing cancer patient burden to the society. Furthermore, AI may provide new functionalities that facilitate satisfactory RT. The functionalities include superior images for real-time intervention and adaptive and personalized RT. AI may effectively synthesize and analyze big data for such purposes. This review describes the RT workflow and identifies areas, including imaging, treatment planning, quality assurance, and outcome prediction, that benefit from AI. This review primarily focuses on deep-learning techniques, although conventional machine-learning techniques are also mentioned.",Epub 2020 Jul 29.
47,Artificial intelligence for oral and maxillo-facial surgery: A narrative review,"['Simon Rasteau', 'Didier Ernenwein', 'Charles Savoldelli', 'Pierre Bouletreau']",https://doi.org/10.1016/j.jormas.2022.01.010,"Artificial Intelligence (AI) is a set of technologies that simulate human cognition in order to address a specific problem. The improvement in computing speed, the exponential production and the routine collection of data have led to the rapid development of AI in the health sector. In this review, we propose to provide surgeons with the essential technical elements to help them understand the possibilities offered by AI and to review the current applications of AI for oral and maxillofacial surgery (OMFS). The review of the literature reveals a real research boom of AI in all fields in OMFS. The algorithms used are related to machine learning, with a strong representation of the convolutional neural networks specific to deep learning. The complex architecture of these networks gives them the capacity to extract and process the elementary characteristics of an image, and they are therefore particularly used for diagnostic purposes on medical imagery or facial photography. We identified representative articles dealing with AI algorithms providing assistance in diagnosis, therapeutic decision, preoperative planning, or prediction and evaluation of the outcomes. Thanks to their learning, classification, prediction and detection capabilities, AI algorithms complement human skills while limiting their imperfections. However, these algorithms should be subject to rigorous clinical evaluation, and ethical reflection on data protection should be systematically conducted.",Epub 2022 Jan 25.
48,Artificial Intelligence in Pharmaceutical Field - A Critical Review,"['Maithri H Shanbhogue', 'Shailesh Thirumaleshwar', 'Pramod Kumar Tegginamath', 'Hemanth Kumar Somareddy']",https://doi.org/10.2174/1567201818666210617100613,"Artificial intelligence is an emerging sector in almost all fields. It is not confined only to a particular category and can be used in various fields like research, technology, and health. AI mainly concentrates on how computers analyze data and mimic the human thought process. As drug development involves high R & D costs and uncertainty in time consumption, artificial intelligence can serve as one of the promising solutions to overcome all these demerits. Due to the availability of enormous data, there are chances of missing out on some crucial details. To solve these issues, algorithms like machine learning, deep learning, and other expert systems are being used. On successful implementation of AI in the pharmaceutical field, the delays in drug development, failure at the clinical and marketing level can be reduced. This review comprises information regarding the development of AI, its subfields, its overall implementation, and its application in the pharmaceutical sector and provides insights on challenges and limitations concerning AI.",
49,Application of artificial intelligence in surgery,"['Xiao-Yun Zhou', 'Yao Guo', 'Mali Shen', 'Guang-Zhong Yang']",https://doi.org/10.1007/s11684-020-0770-0,"Artificial intelligence (AI) is gradually changing the practice of surgery with technological advancements in imaging, navigation, and robotic intervention. In this article, we review the recent successful and influential applications of AI in surgery from preoperative planning and intraoperative guidance to its integration into surgical robots. We conclude this review by summarizing the current state, emerging trends, and major challenges in the future development of AI in surgery.",Epub 2020 Jul 23.
50,Current and emerging artificial intelligence applications for pediatric interventional radiology,"['Sudhen B Desai', 'Anuj Pareek', 'Matthew P Lungren']",https://doi.org/10.1007/s00247-021-05013-y,"Artificial intelligence in medicine can help improve the accuracy and efficiency of diagnostics, selection of therapies and prediction of outcomes. Machine learning describes a subset of artificial intelligence that utilizes algorithms that can learn modeling functions from datasets. More complex algorithms, or deep learning, can similarly learn modeling functions for a variety of tasks leveraging massive complex datasets. The aggregation of artificial intelligence tools has the potential to improve many facets of health care delivery, from mundane tasks such as scheduling appointments to more complex functions such as enterprise management modeling and in-suite procedural assistance. Within radiology, the roles and use cases for artificial intelligence (inclusive of machine learning and deep learning) continue to evolve. Significant resources have been devoted to diagnostic radiology tasks via national radiology societies, academic medical centers and hundreds of commercial entities. Despite the widespread interest in artificial intelligence radiology solutions, there remains a lack of applications and discussion for use cases in interventional radiology (IR). Even more relevant to this audience, specific technologies tailored to the pediatric IR space are lacking. In this review, we describe artificial intelligence technologies that have been developed within the IR suite, as well as some future work, with a focus on artificial intelligence's potential impact in pediatric interventional medicine.",Epub 2021 May 12.
51,Health Information Management: Implications of Artificial Intelligence on Healthcare Data and Information Management,"['Mary H Stanfill', 'David T Marc']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6697524/pdf/10-1055-s-0039-1677913.pdf,Objective: This paper explores the implications of artificial intelligence (AI) on the management of healthcare data and information and how AI technologies will affect the responsibilities and work of health information management (HIM) professionals.,Epub 2019 Aug 16.
52,Artificial Intelligence and Digital Tools: Future of Diabetes Care,"['Ram D Sriram', 'S Sethu K Reddy']",https://doi.org/10.1016/j.cger.2020.04.009,"Diabetes mellitus has become a global threat, especially in the emerging economies. In the United States, there are about 24 million people with diabetes mellitus. Diabetes represents a trove of physiologic and sociologic data that are only superficially understood by the health care system. Artificial intelligence can address many problems posed by the prevalence of diabetes mellitus and the impact of diabetes on individual and societal health. We provide a brief overview of artificial intelligence and discuss case studies that illustrate how artificial intelligence can enhance diabetes care.",Epub 2020 Apr 17.
53,"Artificial intelligence, science, and learning","['David Lillicrap', 'James H Morrissey']",https://doi.org/10.1016/j.jtha.2023.01.026,,
54,"Artificial Intelligence, Machine Learning and Smart Technologies for Nondestructive Evaluation","['Hossein Taheri', 'Maria Gonzalez Bocanegra', 'Mohammad Taheri']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9185454/pdf/sensors-22-04055.pdf,"Nondestructive evaluation (NDE) techniques are used in many industries to evaluate the properties of components and inspect for flaws and anomalies in structures without altering the part's integrity or causing damage to the component being tested. This includes monitoring materials' condition (Material State Awareness (MSA)) and health of structures (Structural Health Monitoring (SHM)). NDE techniques are highly valuable tools to help prevent potential losses and hazards arising from the failure of a component while saving time and cost by not compromising its future usage. On the other hand, Artificial Intelligence (AI) and Machine Learning (ML) techniques are useful tools which can help automating data collection and analyses, providing new insights, and potentially improving detection performance in a quick and low effort manner with great cost savings. This paper presents a survey on state of the art AI-ML techniques for NDE and the application of related smart technologies including Machine Vision (MV) and Digital Twins in NDE.",
55,Artificial Intelligence in Respiratory Diseases,,https://doi.org/10.1016/j.arbres.2019.12.037,,Epub 2020 Feb 18.
56,Artificial intelligence versus clinicians,['Vanessa Rampton'],https://doi.org/10.1136/bmj.m1326,,
57,Artificial intelligence in the experimental determination and prediction of macromolecular structures,['Andrea Thorn'],https://doi.org/10.1016/j.sbi.2022.102368,"Machine learning methods, in particular convolutional neural networks, have been applied to a variety of problems in cryo-EM and macromolecular crystallographic structure solution. However, they still have only limited acceptance by the community, mainly in areas where they replace repetitive work and allow for easy visual checking, such as particle picking, crystal centering or crystal recognition. With Artificial Intelligence (AI) based protein fold prediction currently revolutionizing the field, it is clear that their scope could be much wider. However, whether we will be able to exploit this potential fully will depend on the manner in which we use machine learning: training data must be well-formulated, methods need to utilize appropriate architectures, and outputs must be critically assessed, which may even require explaining AI decisions.",Epub 2022 Apr 15.
58,Artificial Intelligence in Ophthalmology - Status Quo and Future Perspectives,"['Philomena A Wawer Matos', 'Robert P Reimer', 'Alexander C Rokohl', 'Liliana Caldeira', 'Ludwig M Heindl', 'Nils Große Hokamp']",https://doi.org/10.1080/08820538.2022.2139625,"Artificial intelligence (AI) is an emerging technology in healthcare and holds the potential to disrupt many arms in medical care. In particular, disciplines using medical imaging modalities, including e.g. radiology but ophthalmology as well, are already confronted with a wide variety of AI implications. In ophthalmologic research, AI has demonstrated promising results limited to specific diseases and imaging tools, respectively. Yet, implementation of AI in clinical routine is not widely spread due to availability, heterogeneity in imaging techniques and AI methods. In order to describe the status quo, this narrational review provides a brief introduction to AI (""what the ophthalmologist needs to know""), followed by an overview of different AI-based applications in ophthalmology and a discussion on future challenges.Abbreviations: Age-related macular degeneration, AMD; Artificial intelligence, AI; Anterior segment OCT, AS-OCT; Coronary artery calcium score, CACS; Convolutional neural network, CNN; Deep convolutional neural network, DCNN; Diabetic retinopathy, DR; Machine learning, ML; Optical coherence tomography, OCT; Retinopathy of prematurity, ROP; Support vector machine, SVM; Thyroid-associated ophthalmopathy, TAO.",Epub 2022 Nov 10.
59,Artificial intelligence and frozen section histopathology: A systematic review,"['Benjamin G Gorman', 'Mark A Lifson', 'Nahid Y Vidal']",https://doi.org/10.1111/cup.14481,"Frozen sections are a useful pathologic tool, but variable image quality may impede the use of artificial intelligence and machine learning in their interpretation. We aimed to identify the current research on machine learning models trained or tested on frozen section images. We searched PubMed and Web of Science for articles presenting new machine learning models published in any year. Eighteen papers met all inclusion criteria. All papers presented at least one novel model trained or tested on frozen section images. Overall, convolutional neural networks tended to have the best performance. When physicians were able to view the output of the model, they tended to perform better than either the model or physicians alone at the tested task. Models trained on frozen sections performed well when tested on other slide preparations, but models trained on only formalin-fixed tissue performed significantly worse across other modalities. This suggests not only that machine learning can be applied to frozen section image processing, but also use of frozen section images may increase model generalizability. Additionally, expert physicians working in concert with artificial intelligence may be the future of frozen section histopathology.",Epub 2023 Jul 2.
60,Engineering a Less Artificial Intelligence,"['Fabian H Sinz', 'Xaq Pitkow', 'Jacob Reimer', 'Matthias Bethge', 'Andreas S Tolias']",https://doi.org/10.1016/j.neuron.2019.08.034,"Despite enormous progress in machine learning, artificial neural networks still lag behind brains in their ability to generalize to new situations. Given identical training data, differences in generalization are caused by many defining features of a learning algorithm, such as network architecture and learning rule. Their joint effect, called ""inductive bias,"" determines how well any learning algorithm-or brain-generalizes: robust generalization needs good inductive biases. Artificial networks use rather nonspecific biases and often latch onto patterns that are only informative about the statistics of the training data but may not generalize to different scenarios. Brains, on the other hand, generalize across comparatively drastic changes in the sensory input all the time. We highlight some shortcomings of state-of-the-art learning algorithms compared to biological brains and discuss several ideas about how neuroscience can guide the quest for better inductive biases by providing useful constraints on representations and network architecture.",
61,Artificial Intelligence and Big Data Science in Neurocritical Care,"['Shraddha Mainali', 'Soojin Park']",https://doi.org/10.1016/j.ccc.2022.07.008,"In recent years, the volume of digitalized web-based information utilizing modern computer-based technology for data storage, processing, and analysis has grown rapidly. Humans can process a limited number of variables at any given time. Thus, the deluge of clinically useful information in the intensive care unit environment remains untapped. Innovations in machine learning technology with the development of deep neural networks and efficient, cost-effective data archival systems have provided the infrastructure to apply artificial intelligence on big data for determination of clinical events and outcomes. Here, we introduce a few computer-based technologies that have been tested across these domains.",Epub 2022 Oct 9.
62,Artificial Intelligence in Hematology: Current Challenges and Opportunities,"['Nathan Radakovich', 'Matthew Nagy', 'Aziz Nazha']",https://doi.org/10.1007/s11899-020-00575-4,"Purpose of review: Artificial intelligence (AI), and in particular its subcategory machine learning, is finding an increasing number of applications in medicine, driven in large part by an abundance of data and powerful, accessible tools that have made AI accessible to a larger circle of investigators.",
63,Artificial Intelligence in Operating Room Management,"['Valentina Bellini', 'Michele Russo', 'Tania Domenichetti', 'Matteo Panizzi', 'Simone Allai', 'Elena Giovanna Bignami']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10867065/pdf/10916_2024_Article_2038.pdf,"This systematic review examines the recent use of artificial intelligence, particularly machine learning, in the management of operating rooms. A total of 22 selected studies from February 2019 to September 2023 are analyzed. The review emphasizes the significant impact of AI on predicting surgical case durations, optimizing post-anesthesia care unit resource allocation, and detecting surgical case cancellations. Machine learning algorithms such as XGBoost, random forest, and neural networks have demonstrated their effectiveness in improving prediction accuracy and resource utilization. However, challenges such as data access and privacy concerns are acknowledged. The review highlights the evolving nature of artificial intelligence in perioperative medicine research and the need for continued innovation to harness artificial intelligence's transformative potential for healthcare administrators, practitioners, and patients. Ultimately, artificial intelligence integration in operative room management promises to enhance healthcare efficiency and patient outcomes.",
64,"Artificial Intelligence, Machine Learning, and Deep Learning in Real-Life Drug Design Cases","['Christophe Muller', 'Obdulia Rabal', 'Constantino Diaz Gonzalez']",https://doi.org/10.1007/978-1-0716-1787-8_16,"The discovery and development of drugs is a long and expensive process with a high attrition rate. Computational drug discovery contributes to ligand discovery and optimization, by using models that describe the properties of ligands and their interactions with biological targets. In recent years, artificial intelligence (AI) has made remarkable modeling progress, driven by new algorithms and by the increase in computing power and storage capacities, which allow the processing of large amounts of data in a short time. This review provides the current state of the art of AI methods applied to drug discovery, with a focus on structure- and ligand-based virtual screening, library design and high-throughput analysis, drug repurposing and drug sensitivity, de novo design, chemical reactions and synthetic accessibility, ADMET, and quantum mechanics.",
65,"Artificial Intelligence, Machine Learning, Deep Learning, and Cognitive Computing: What Do These Terms Mean and How Will They Impact Health Care?",['Stefano A Bini'],https://doi.org/10.1016/j.arth.2018.02.067,"This article was presented at the 2017 annual meeting of the American Association of Hip and Knee Surgeons to introduce the members gathered as the audience to the concepts behind artificial intelligence (AI) and the applications that AI can have in the world of health care today. We discuss the origin of AI, progress to machine learning, and then discuss how the limits of machine learning lead data scientists to develop artificial neural networks and deep learning algorithms through biomimicry. We will place all these technologies in the context of practical clinical examples and show how AI can act as a tool to support and amplify human cognitive functions for physicians delivering care to increasingly complex patients. The aim of this article is to provide the reader with a basic understanding of the fundamentals of AI. Its purpose is to demystify this technology for practicing surgeons so they can better understand how and where to apply it.",Epub 2018 Feb 27.
66,Review: Application of Artificial Intelligence in Phenomics,"['Shona Nabwire', 'Hyun-Kwon Suh', 'Moon S Kim', 'Insuck Baek', 'Byoung-Kwan Cho']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8271724/pdf/sensors-21-04363.pdf,"Plant phenomics has been rapidly advancing over the past few years. This advancement is attributed to the increased innovation and availability of new technologies which can enable the high-throughput phenotyping of complex plant traits. The application of artificial intelligence in various domains of science has also grown exponentially in recent years. Notably, the computer vision, machine learning, and deep learning aspects of artificial intelligence have been successfully integrated into non-invasive imaging techniques. This integration is gradually improving the efficiency of data collection and analysis through the application of machine and deep learning for robust image analysis. In addition, artificial intelligence has fostered the development of software and tools applied in field phenotyping for data collection and management. These include open-source devices and tools which are enabling community driven research and data-sharing, thereby availing the large amounts of data required for the accurate study of phenotypes. This paper reviews more than one hundred current state-of-the-art papers concerning AI-applied plant phenotyping published between 2010 and 2020. It provides an overview of current phenotyping technologies and the ongoing integration of artificial intelligence into plant phenotyping. Lastly, the limitations of the current approaches/methods and future directions are discussed.",
67,Artificial intelligence in myopia: current and future trends,"['Li Lian Foo', 'Wei Yan Ng', 'Gilbert Yong San Lim', 'Tien-En Tan', 'Marcus Ang', 'Daniel Shu Wei Ting']",https://doi.org/10.1097/icu.0000000000000791,"Purpose of review: Myopia is one of the leading causes of visual impairment, with a projected increase in prevalence globally. One potential approach to address myopia and its complications is early detection and treatment. However, current healthcare systems may not be able to cope with the growing burden. Digital technological solutions such as artificial intelligence (AI) have emerged as a potential adjunct for myopia management.",
68,The Role of Artificial Intelligence in Surgery,"['Daniel A Hashimoto', 'Thomas M Ward', 'Ozanan R Meireles']",https://doi.org/10.1016/j.yasu.2020.05.010,,Epub 2020 Jun 30.
69,Artificial Intelligence: An Emerging Intellectual Sword for Battling Carcinomas,"['Sadaf Arfi', 'Nimisha Srivastava', 'Nisha Sharma']",https://doi.org/10.2174/1389201024666230411091057,"Artificial Intelligence (AI) is a branch of computer science that deals with mathematical algorithms to mimic the abilities and intellectual work performed by the human brain. Nowadays, AI is being effectively utilized in addressing difficult healthcare challenges, including complex biological abnormalities, diagnosis, treatment, and clinical prognosis of various life-threatening diseases, like cancer. Deep neural networking (DNN), a subset of AI, is prominently being applied in clinical research programs on cancer. AI acts as a promising tool in radiotherapy, mammography, imaging, cancer prognosis, cancer genomics and molecular signaling, pathology, drug discovery, chemotherapy, immunotherapy, and clinical decision support system. This article provides an elaborative view concerning the application of AI in cancer, an explorative review that how AI has been used as a trenchant tool in the past, present and future of cancer. This review article provides a new prospective that how the mimic of human intellectual (AI technology) has put forward an unprecedented accuracy in the field of clinical research of cancer.",
